0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0
0,0,0,1,14,6,6,13,1,2,0,0,0,0,0,0,0,1,1,1,14,6,6,6,6,6,6,6,6,6,6,13,1,1,1,2,0,0,0,0
0,0,14,6,6,6,6,6,6,13,2,0,0,0,0,0,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,2,0,0,0
0,5,6,6,6,6,6,6,6,6,7,0,0,0,1,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,1,2,0
0,5,6,6,6,6,6,6,6,6,7,0,0,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,0
0,10,9,6,6,6,6,6,6,6,7,0,0,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,0
0,0,10,9,6,6,6,6,6,8,12,0,0,10,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,11,12,0
0,0,0,10,11,11,11,11,11,12,0,0,0,0,10,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,11,11,11,11,12,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,9,6,6,6,6,6,6,6,8,11,11,11,11,11,12,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,9,6,6,8,11,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,19,2,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,19,1,0,2,11,11,0,18,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,6,6,19,0,0,2,0,2,2,2,0,1,1,2,2,2,1,18,6,6,6,6,7,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,6,19,2,2,1,0,2,1,0,1,2,11,11,11,2,1,2,2,1,0,0,0,0,1,18,6,7,0,0,0,0,0,0
0,0,0,0,5,6,19,1,1,0,1,11,11,2,11,11,11,11,11,0,0,11,11,2,2,1,0,1,1,0,0,1,1,18,6,7,0,0,0,0
0,0,0,0,10,0,1,2,0,1,0,11,0,11,11,2,11,0,2,11,11,11,11,0,2,11,11,11,11,11,11,0,2,1,1,18,7,0,0,0
0,0,0,0,10,0,0,1,2,2,2,11,2,2,0,1,11,0,11,11,11,0,11,11,11,11,11,11,11,11,0,2,1,0,1,2,12,0,0,0
0,0,0,0,15,14,0,2,2,0,0,0,2,0,0,0,11,11,11,0,1,1,0,2,11,11,11,2,0,2,1,2,2,2,1,11,12,0,0,0
0,0,0,0,0,15,16,14,1,2,2,1,1,2,1,2,1,11,11,11,0,0,0,1,0,2,0,1,0,2,2,1,1,11,13,16,17,0,0,0
0,0,0,0,0,0,0,15,16,16,16,14,2,1,1,1,1,2,1,11,11,11,11,2,1,1,2,2,0,1,0,13,16,16,17,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,15,16,16,14,2,0,1,1,0,1,2,2,1,1,2,13,16,16,16,16,17,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,16,16,16,16,16,16,16,16,16,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
